review_id,review_text
R00001,Picked this up in a car cup holder. After half a year the lid gasket shows no wear at all. Exactly what I hoped for.
R00002,"Absolutely love it! Great product, great price, great seller. Buy it now!"
R00003,"Using it for daily commuting for half a year. The shoulder strap does exactly what it needs to, nothing fancy but it works."
R00004,About about eight months in and a wheel seized. The spinner wheels clearly was not built for regular use.
R00005,"Using it on a glass desk for two weeks. The left click switch does exactly what it needs to, nothing fancy but it works."
R00006,Worked fine at first but after about eight months the crystal picked up a scratch. The crown was the weak point.
R00007,Been using this on a weekend trip for about six weeks now and the inner lining has held up well. No complaints so far.
R00008,Excellent knife set. The quality is really good and it came fast. Recommended.
R00009,Had it two weeks while studying late. The armrest has held up better than the last one I owned. Very pleased.
R00010,Worst purchase. Poor quality item. Totally disappointed. Not recommended at all.
R00011,Excellent watch. The quality is really good and it came fast. Recommended.
R00012,Excellent bag. The quality is really good and it came fast. Recommended.
R00013,"Very happy with this set. Great quality, quick delivery. Would recommend."
R00014,Been using this with a screen protector fitted for about four months now and the corner bumpers has held up well. No complaints so far.
R00015,Had this six weeks. Mainly use it while cooking dinner. The charging port is the part that impressed me most.
R00016,"Nice quality, does the job. Recommend."
R00017,Used it as a check-in bag for two weeks and then a wheel seized. Disappointing for what it cost.
R00018,Excellent knife set. The quality is really good and it came fast. Recommended.
R00019,"Bought it at the gym. The crystal is better than I expected for the price, still solid after a month."
R00020,Been using this on a work site for about four months now and the camera lip has held up well. No complaints so far.
R00021,Wonderful item! Top quality and great service. Would definitely recommend!
R00022,Worked fine at first but after four months it started rusting at the bolster. The tang was the weak point.
R00023,"Nice quality, does the job. Recommend."
R00024,Excellent! Very good product with superb finishing. Worth every penny!
R00025,Using it on a work site for four months now. The camera lip is well made and everything still works perfectly.
R00026,Been using this on a weekend trip for about two weeks now and the shoulder strap has held up well. No complaints so far.
R00027,Had this half a year. Mainly use it for driving. The frame is the part that impressed me most.
R00028,Excellent! Very good product with superb finishing. Worth every penny!
R00029,Superb! Fantastic quality and amazing value for money. Very happy with this purchase!
R00030,"Does the job in a car cup holder. Not perfect, it stopped holding temperature eventually, but for the price it is acceptable."
R00031,"Using it while swimming for about eight months. The crown does exactly what it needs to, nothing fancy but it works."
R00032,"Bought it on a hardwood floor. The edge binding is better than I expected for the price, still solid after half a year."
R00033,Been using this through a dry winter for about about eight months now and the consistency has held up well. No complaints so far.
R00034,Had this about eight months. Mainly use it on a camping trip. The charging port is the part that impressed me most.
R00035,Amazing product! Excellent quality and superb value. Highly recommend to everyone!
R00036,Had it about eight months for floor workouts. The foam density has held up better than the last one I owned. Very pleased.
R00037,Been using this on a hardwood floor for about six weeks now and the foam density has held up well. No complaints so far.
R00038,Really happy with this suitcase. The quality is great and it arrived quickly. Recommended.
R00039,Used it with a screen protector fitted for a month and then the camera lip wore down. Disappointing for what it cost.
R00040,Had this three months. Mainly use it for daily pocket carry. The inner lining is the part that impressed me most.
R00041,Used it in a busy kitchen for six weeks and then the edge dulled within a month. Disappointing for what it cost.
R00042,"Bought it on a long airport day. The heel counter is better than I expected for the price, still solid after three months."
R00043,Had this two weeks. Mainly use it at the gym. The crystal is the part that impressed me most.
R00044,Really happy with this pair of sunglasses. The quality is great and it arrived quickly. Recommended.
R00045,Been using this through three connecting flights for about about eight months now and the latches has held up well. No complaints so far.
R00046,"Bought it for daily morning practice. The edge binding is better than I expected for the price, still solid after six weeks."
R00047,"Very good, exactly what I wanted. Thanks!"
R00048,Really happy with this case. The quality is great and it arrived quickly. Recommended.
R00049,"Great watch, quality is excellent and delivery was quick. Happy to recommend."
R00050,Using it through a dry winter for a month now. The jar seal is well made and everything still works perfectly.
R00051,"Bought it for daily college carry. Within about eight months the base fabric started fraying, so I would not buy again."
R00052,Excellent knife set. The quality is really good and it came fast. Recommended.
R00053,"Using it for monthly work travel for a month. The spinner wheels does exactly what it needs to, nothing fancy but it works."
R00054,Had this six weeks. Mainly use it for work calls. The battery is the part that impressed me most.
R00055,"Pretty good overall, would buy again."
R00056,Terrible product. Complete waste of money. Do not buy this. Very bad quality.
R00057,"Bought it for monthly work travel. The latches is better than I expected for the price, still solid after a month."
R00058,Been using this in heavy rain for a month and the main zip still looks new. Genuinely impressed with the build.
R00059,"Decent on a long airport day, though the sole started separating at the toe after two weeks. The toe box is still holding up at least."
R00060,Decent product for the price. Satisfied.
R00061,"Absolutely love it! Great product, great price, great seller. Buy it now!"
R00062,"Absolutely love it! Great product, great price, great seller. Buy it now!"
R00063,Worked fine at first but after three months the case hinge went loose. The battery was the weak point.
R00064,Terrible product. Complete waste of money. Do not buy this. Very bad quality.
R00065,Excellent suitcase. The quality is really good and it came fast. Recommended.
R00066,Excellent! Very good product with superb finishing. Worth every penny!
R00067,"Bought it for gaming. Within two weeks the left click started double-clicking, so I would not buy again."
R00068,Really happy with this watch. The quality is great and it arrived quickly. Recommended.
R00069,"Does the job for driving. Not perfect, the nose pads discoloured eventually, but for the price it is acceptable."
R00070,"Does the job for a formal event. Not perfect, it gained a few minutes a week eventually, but for the price it is acceptable."
R00071,Been using this with a laptop while travelling for a month and the side buttons still looks new. Genuinely impressed with the build.
R00072,"Bought it with a laptop while travelling. Within six weeks the left click started double-clicking, so I would not buy again."
R00073,"This chair is great quality and arrived fast. Very happy with it, recommended."
R00074,"Great knife set, quality is excellent and delivery was quick. Happy to recommend."
R00075,"Does the job on a two week trip. Not perfect, a wheel seized eventually, but for the price it is acceptable."
R00076,Been using this for driving for about six weeks now and the frame has held up well. No complaints so far.
R00077,Had it about eight months on a work site. The camera lip has held up better than the last one I owned. Very pleased.
R00078,Wonderful item! Top quality and great service. Would definitely recommend!
R00079,Had this three months. Mainly use it in a car cup holder. The lid gasket is the part that impressed me most.
R00080,"Decent as a nightly routine, though it broke me out after a fortnight after six weeks. The jar seal is still holding up at least."
R00081,Used it for slicing bread for six weeks and then the handle worked loose. Disappointing for what it cost.
R00082,Had this two weeks. Mainly use it for gaming. The glide feet is the part that impressed me most.
R00083,Really happy with this case. The quality is great and it arrived quickly. Recommended.
R00084,"This chair is great quality and arrived fast. Very happy with it, recommended."
R00085,Had this a month. Mainly use it for floor workouts. The edge binding is the part that impressed me most.
R00086,Using it for driving for six weeks now. The frame is well made and everything still works perfectly.
R00087,Been using this when breaking down a chicken for about about eight months now and the bolster has held up well. No complaints so far.
R00088,Had this six weeks. Mainly use it as a daily watch. The crown is the part that impressed me most.
R00089,"Bought it in a home office. The gas lift is better than I expected for the price, still solid after four months."
R00090,Mixed feelings. The shoulder straps is good but after about eight months it soaked through in rain. Fine if you use it lightly.
R00091,"Using it for daily pocket carry for two weeks. The camera lip does exactly what it needs to, nothing fancy but it works."
R00092,Worked fine at first but after a month the camera lip wore down. The inner lining was the weak point.
R00093,"Using it on a long airport day for two weeks. The insole does exactly what it needs to, nothing fancy but it works."
R00094,"Very good, exactly what I wanted. Thanks!"
R00095,"Absolutely love it! Great product, great price, great seller. Buy it now!"
